2018-09-17T08:29:08.347Z INFO    :LoadModule               :loadModule()              Loading composer-wallet-filesystem from /home/composer/.npm-global/lib/node_modules/composer-playground/node_modules/composer-wallet-filesystem {}$
2018-09-17T08:29:08.366Z INFO    :PlaygroundAPI            :createServer()            Playground API started on port 8080 {}$
2018-09-17T08:29:09.144Z INFO    :PlaygroundAPI            :createServer()            Client with ID 'htFL4GtF1LlckOBhAAAA' on host '::ffff:118.69.34.155' connected {}$
2018-09-17T08:29:14.144Z INFO    :PlaygroundAPI            :createServer()            Client with ID 'Gv1TpOlec07H9jAVAAAB' on host '::ffff:118.69.34.155' connected {}$
2018-09-17T08:29:34.364Z ERROR   :HLFConnectionManager     :fabric-client()           [client-utils.js]: sendPeersProposal - Promise is rejected: Error: transaction returned with failure: Error: The current identity, with the name 'admin' and the identifier '01899e04161a3a6d64670504fa122e55818295352929b6a616333a3739fde3f2', must be activated (ACTIVATION_REQUIRED)
    at /home/composer/.npm-global/lib/node_modules/composer-cli/node_modules/fabric-client/lib/Peer.js:114:16
    at /home/composer/.npm-global/lib/node_modules/composer-cli/node_modules/grpc/src/client.js:586:7 {}$
2018-09-17T08:29:34.365Z ERROR   :HLFConnection            :ping()                    {"message":"Error trying to ping. Error: transaction returned with failure: Error: The current identity, with the name 'admin' and the identifier '01899e04161a3a6d64670504fa122e55818295352929b6a616333a3739fde3f2', must be activated (ACTIVATION_REQUIRED)","stack":"Error: Error trying to ping. Error: transaction returned with failure: Error: The current identity, with the name 'admin' and the identifier '01899e04161a3a6d64670504fa122e55818295352929b6a616333a3739fde3f2', must be activated (ACTIVATION_REQUIRED)\n    at _checkRuntimeVersions.then.catch (/home/composer/.npm-global/lib/node_modules/composer-cli/node_modules/composer-connector-hlfv1/lib/hlfconnection.js:806:34)\n    at <anonymous>"}$
2018-09-17T08:30:34.277Z INFO    :PlaygroundAPI            :createServer()            Client with ID 'Gv1TpOlec07H9jAVAAAB' on host '::ffff:118.69.34.155' disconnected (transport close) {}$
2018-09-17T08:30:34.278Z INFO    :PlaygroundAPI            :createServer()            Client with ID 'htFL4GtF1LlckOBhAAAA' on host '::ffff:118.69.34.155' disconnected (transport close) {}$
2018-09-17T08:30:39.372Z INFO    :PlaygroundAPI            :createServer()            Client with ID 'cYgJ7l3fMTQHoqXcAAAC' on host '::ffff:118.69.34.155' connected {}$
